Age	pH	sd2.do	sd2.up	Source
53.97	7.81	0.04	0.03	Anagnostouetal2020
53.97	7.62	0.09	0.08	Anagnostouetal2020
53.99	7.61	0.06	0.06	Anagnostouetal2020
54.01	7.74	0.04	0.04	Anagnostouetal2020
54.02	7.57	0.06	0.05	Anagnostouetal2020
54.03	7.54	0.04	0.04	Anagnostouetal2020
54.04	7.66	0.05	0.04	Anagnostouetal2020
54.04	7.66	0.04	0.04	Anagnostouetal2020
54.04	7.69	0.03	0.03	Anagnostouetal2020
54.05	7.78	0.07	0.06	Anagnostouetal2020
54.05	7.73	0.07	0.07	Anagnostouetal2020
54.05	7.76	0.03	0.03	Anagnostouetal2020
54.05	7.44	0.11	0.09	Anagnostouetal2020
54.05	7.58	0.05	0.05	Anagnostouetal2020
54.05	7.62	0.09	0.09	Anagnostouetal2020
54.05	7.78	0.03	0.03	Anagnostouetal2020
54.05	7.61	0.12	0.10	Anagnostouetal2020
54.05	7.75	0.04	0.04	Anagnostouetal2020
54.05	7.54	0.08	0.07	Anagnostouetal2020
54.05	7.75	0.04	0.04	Anagnostouetal2020
54.05	7.79	0.03	0.03	Anagnostouetal2020
54.05	7.83	0.04	0.04	Anagnostouetal2020
54.05	7.75	0.06	0.05	Anagnostouetal2020
54.06	7.86	0.04	0.04	Anagnostouetal2020
54.06	7.80	0.05	0.05	Anagnostouetal2020
54.07	7.76	0.04	0.04	Anagnostouetal2020
54.08	7.83	0.04	0.03	Anagnostouetal2020
54.09	7.77	0.10	0.09	Anagnostouetal2020
54.68	7.83	0.03	0.03	Anagnostouetal2020
55.39	7.62	0.05	0.05	Anagnostouetal2020
55.42	7.63	0.04	0.05	Anagnostouetal2020
55.44	7.62	0.05	0.05	Anagnostouetal2020
55.49	7.66	0.04	0.05	Anagnostouetal2020
55.51	7.57	0.05	0.05	Anagnostouetal2020
55.52	7.61	0.06	0.07	Anagnostouetal2020
55.54	7.77	0.03	0.03	Anagnostouetal2020
55.54	7.70	0.04	0.04	Anagnostouetal2020
55.56	7.70	0.04	0.04	Anagnostouetal2020
55.59	7.72	0.04	0.04	Anagnostouetal2020
55.61	7.68	0.04	0.04	Anagnostouetal2020
55.64	7.67	0.05	0.05	Anagnostouetal2020
55.66	7.68	0.04	0.04	Anagnostouetal2020
55.68	7.62	0.04	0.05	Anagnostouetal2020
55.68	7.70	0.03	0.03	Anagnostouetal2020
55.70	7.69	0.05	0.05	Anagnostouetal2020
55.72	7.61	0.07	0.08	Anagnostouetal2020
55.73	7.61	0.04	0.04	Anagnostouetal2020
55.74	7.53	0.06	0.07	Anagnostouetal2020
55.75	7.69	0.04	0.04	Anagnostouetal2020
55.76	7.63	0.09	0.12	Anagnostouetal2020
55.78	7.65	0.06	0.06	Anagnostouetal2020
55.79	7.63	0.04	0.04	Anagnostouetal2020
55.80	7.52	0.05	0.05	Anagnostouetal2020
55.81	7.65	0.05	0.06	Anagnostouetal2020
55.82	7.63	0.04	0.04	Anagnostouetal2020
55.83	7.65	0.03	0.04	Anagnostouetal2020
55.84	7.52	0.05	0.05	Anagnostouetal2020
55.84	7.55	0.07	0.08	Anagnostouetal2020
55.84	7.69	0.04	0.04	Anagnostouetal2020
55.85	7.53	0.09	0.11	Anagnostouetal2020
55.88	7.46	0.08	0.09	Anagnostouetal2020
55.88	7.54	0.05	0.05	Anagnostouetal2020
55.89	7.58	0.05	0.06	Anagnostouetal2020
55.90	7.54	0.06	0.06	Anagnostouetal2020
55.91	7.74	0.05	0.05	Anagnostouetal2020
55.92	7.69	0.04	0.03	Anagnostouetal2020
55.92	7.74	0.08	0.09	Anagnostouetal2020
55.93	7.79	0.04	0.04	Anagnostouetal2020
55.94	7.66	0.05	0.05	Anagnostouetal2020
55.96	7.72	0.04	0.05	Anagnostouetal2020
55.98	7.74	0.04	0.05	Anagnostouetal2020
56.02	7.70	0.05	0.05	Anagnostouetal2020
56.04	7.64	0.05	0.05	Anagnostouetal2020
56.05	7.74	0.04	0.05	Anagnostouetal2020
56.07	7.73	0.03	0.03	Anagnostouetal2020
56.10	7.68	0.05	0.05	Anagnostouetal2020
56.13	7.73	0.05	0.05	Anagnostouetal2020
56.34	7.82	0.06	0.07	Anagnostouetal2020
				
				
				
				
				
