Source	Sample	Age.myr	pH2.5	pH16.7	pH25	pH50	pH75	pH83.3	pH97.5
Martinez-Boti15	7.00E+00	2.39E+00	8.01E+00	8.04E+00	8.03E+00	8.06E+00	8.08E+00	8.07E+00	8.10E+00
Martinez-Boti15	8.00E+00	2.41E+00	8.11E+00	8.14E+00	8.13E+00	8.15E+00	8.17E+00	8.17E+00	8.19E+00
Martinez-Boti15	9.00E+00	2.42E+00	8.05E+00	8.08E+00	8.07E+00	8.09E+00	8.12E+00	8.11E+00	8.14E+00
Martinez-Boti15	1.00E+01	2.45E+00	8.06E+00	8.09E+00	8.09E+00	8.11E+00	8.13E+00	8.12E+00	8.15E+00
Martinez-Boti15	1.10E+01	2.47E+00	8.04E+00	8.07E+00	8.06E+00	8.08E+00	8.11E+00	8.10E+00	8.13E+00
Martinez-Boti15	1.20E+01	2.50E+00	8.02E+00	8.05E+00	8.05E+00	8.07E+00	8.09E+00	8.08E+00	8.11E+00
Martinez-Boti15	1.30E+01	2.50E+00	8.02E+00	8.05E+00	8.04E+00	8.06E+00	8.09E+00	8.08E+00	8.11E+00
Bartoli11	1.00E+01	2.50E+00	8.00E+00	8.03E+00	8.03E+00	8.05E+00	8.08E+00	8.07E+00	8.10E+00
Martinez-Boti15	1.40E+01	2.52E+00	8.15E+00	8.17E+00	8.17E+00	8.19E+00	8.21E+00	8.20E+00	8.23E+00
Martinez-Boti15	1.50E+01	2.55E+00	8.05E+00	8.07E+00	8.07E+00	8.09E+00	8.11E+00	8.10E+00	8.13E+00
Sosdian18	3.20E+01	2.55E+00	8.13E+00	8.16E+00	8.15E+00	8.17E+00	8.19E+00	8.19E+00	8.21E+00
Bartoli11	1.10E+01	2.56E+00	8.05E+00	8.08E+00	8.08E+00	8.10E+00	8.13E+00	8.12E+00	8.16E+00
Martinez-Boti15	1.60E+01	2.56E+00	8.08E+00	8.11E+00	8.10E+00	8.12E+00	8.14E+00	8.14E+00	8.16E+00
Martinez-Boti15	1.70E+01	2.58E+00	8.05E+00	8.08E+00	8.07E+00	8.09E+00	8.11E+00	8.11E+00	8.13E+00
Martinez-Boti15	1.80E+01	2.59E+00	8.01E+00	8.05E+00	8.04E+00	8.06E+00	8.08E+00	8.08E+00	8.11E+00
Bartoli11	1.20E+01	2.60E+00	8.11E+00	8.14E+00	8.14E+00	8.16E+00	8.18E+00	8.17E+00	8.20E+00
Martinez-Boti15	1.90E+01	2.62E+00	8.10E+00	8.13E+00	8.13E+00	8.15E+00	8.17E+00	8.16E+00	8.19E+00
Martinez-Boti15	2.00E+01	2.62E+00	8.08E+00	8.10E+00	8.10E+00	8.12E+00	8.14E+00	8.13E+00	8.16E+00
Martinez-Boti15	2.10E+01	2.63E+00	8.14E+00	8.17E+00	8.16E+00	8.18E+00	8.20E+00	8.20E+00	8.22E+00
Martinez-Boti15	2.20E+01	2.65E+00	8.10E+00	8.13E+00	8.12E+00	8.14E+00	8.16E+00	8.16E+00	8.18E+00
Martinez-Boti15	2.30E+01	2.66E+00	8.08E+00	8.10E+00	8.10E+00	8.12E+00	8.14E+00	8.13E+00	8.16E+00
Martinez-Boti15	2.40E+01	2.67E+00	8.12E+00	8.15E+00	8.14E+00	8.16E+00	8.18E+00	8.18E+00	8.20E+00
Martinez-Boti15	2.50E+01	2.68E+00	8.06E+00	8.08E+00	8.08E+00	8.10E+00	8.12E+00	8.11E+00	8.14E+00
Bartoli11	1.30E+01	2.69E+00	8.11E+00	8.14E+00	8.13E+00	8.16E+00	8.18E+00	8.18E+00	8.21E+00
Martinez-Boti15	2.60E+01	2.69E+00	8.10E+00	8.13E+00	8.12E+00	8.14E+00	8.16E+00	8.15E+00	8.18E+00
Martinez-Boti15	2.70E+01	2.70E+00	8.11E+00	8.14E+00	8.13E+00	8.15E+00	8.17E+00	8.17E+00	8.19E+00
Martinez-Boti15	2.80E+01	2.70E+00	8.15E+00	8.18E+00	8.18E+00	8.20E+00	8.23E+00	8.22E+00	8.25E+00
Bartoli11	1.40E+01	2.70E+00	8.01E+00	8.05E+00	8.04E+00	8.06E+00	8.09E+00	8.08E+00	8.12E+00
Martinez-Boti15	2.90E+01	2.70E+00	8.06E+00	8.09E+00	8.08E+00	8.10E+00	8.13E+00	8.12E+00	8.15E+00
Bartoli11	1.50E+01	2.71E+00	8.03E+00	8.06E+00	8.05E+00	8.08E+00	8.10E+00	8.09E+00	8.13E+00
Martinez-Boti15	3.00E+01	2.71E+00	8.13E+00	8.15E+00	8.15E+00	8.17E+00	8.19E+00	8.18E+00	8.21E+00
Bartoli11	1.60E+01	2.71E+00	8.09E+00	8.12E+00	8.11E+00	8.14E+00	8.16E+00	8.15E+00	8.18E+00
Bartoli11	1.70E+01	2.71E+00	7.97E+00	8.03E+00	8.01E+00	8.06E+00	8.10E+00	8.09E+00	8.14E+00
Martinez-Boti15	3.10E+01	2.75E+00	8.04E+00	8.07E+00	8.06E+00	8.08E+00	8.10E+00	8.10E+00	8.12E+00
Martinez-Boti15	3.20E+01	2.75E+00	8.05E+00	8.08E+00	8.08E+00	8.10E+00	8.12E+00	8.12E+00	8.14E+00
Bartoli11	1.80E+01	2.75E+00	8.04E+00	8.07E+00	8.07E+00	8.09E+00	8.11E+00	8.11E+00	8.14E+00
Martinez-Boti15	3.30E+01	2.76E+00	8.02E+00	8.05E+00	8.04E+00	8.06E+00	8.09E+00	8.08E+00	8.11E+00
Bartoli11	1.90E+01	2.77E+00	7.98E+00	8.01E+00	8.01E+00	8.03E+00	8.06E+00	8.05E+00	8.08E+00
Martinez-Boti15	3.40E+01	2.78E+00	8.10E+00	8.13E+00	8.13E+00	8.15E+00	8.17E+00	8.16E+00	8.19E+00
Bartoli11	2.00E+01	2.78E+00	7.96E+00	8.00E+00	7.99E+00	8.01E+00	8.04E+00	8.03E+00	8.07E+00
Bartoli11	2.10E+01	2.78E+00	8.02E+00	8.05E+00	8.04E+00	8.07E+00	8.09E+00	8.08E+00	8.12E+00
Bartoli11	2.20E+01	2.78E+00	8.02E+00	8.06E+00	8.05E+00	8.07E+00	8.10E+00	8.09E+00	8.12E+00
Bartoli11	2.30E+01	2.80E+00	8.03E+00	8.06E+00	8.05E+00	8.08E+00	8.10E+00	8.10E+00	8.13E+00
Martinez-Boti15	3.50E+01	2.80E+00	8.10E+00	8.13E+00	8.12E+00	8.14E+00	8.16E+00	8.16E+00	8.19E+00
Martinez-Boti15	3.60E+01	2.83E+00	8.06E+00	8.09E+00	8.08E+00	8.10E+00	8.12E+00	8.12E+00	8.15E+00
Martinez-Boti15	3.70E+01	2.83E+00	8.00E+00	8.04E+00	8.03E+00	8.06E+00	8.09E+00	8.08E+00	8.12E+00
Martinez-Boti15	3.80E+01	2.84E+00	7.99E+00	8.02E+00	8.02E+00	8.04E+00	8.06E+00	8.05E+00	8.08E+00
Martinez-Boti15	3.90E+01	2.85E+00	8.07E+00	8.10E+00	8.09E+00	8.12E+00	8.14E+00	8.13E+00	8.16E+00
Martinez-Boti15	4.00E+01	2.86E+00	7.94E+00	7.98E+00	7.97E+00	7.99E+00	8.02E+00	8.01E+00	8.04E+00
Sosdian18	3.30E+01	2.88E+00	8.19E+00	8.22E+00	8.21E+00	8.23E+00	8.25E+00	8.25E+00	8.27E+00
Martinez-Boti15	4.10E+01	2.91E+00	8.01E+00	8.04E+00	8.03E+00	8.05E+00	8.08E+00	8.07E+00	8.10E+00
Bartoli11	2.40E+01	2.92E+00	8.07E+00	8.11E+00	8.10E+00	8.12E+00	8.15E+00	8.14E+00	8.17E+00
Martinez-Boti15	4.20E+01	2.92E+00	8.00E+00	8.03E+00	8.03E+00	8.05E+00	8.07E+00	8.07E+00	8.10E+00
Seki10	6.00E+01	2.94E+00	8.00E+00	8.03E+00	8.02E+00	8.04E+00	8.06E+00	8.06E+00	8.08E+00
Martinez-Boti15	4.30E+01	2.94E+00	8.04E+00	8.07E+00	8.06E+00	8.09E+00	8.11E+00	8.10E+00	8.13E+00
Martinez-Boti15	4.40E+01	2.95E+00	8.02E+00	8.05E+00	8.04E+00	8.07E+00	8.09E+00	8.08E+00	8.11E+00
Martinez-Boti15	4.50E+01	2.95E+00	7.95E+00	7.99E+00	7.98E+00	8.01E+00	8.04E+00	8.03E+00	8.07E+00
Martinez-Boti15	4.60E+01	2.96E+00	8.03E+00	8.06E+00	8.06E+00	8.08E+00	8.10E+00	8.09E+00	8.12E+00
Martinez-Boti15	4.70E+01	2.98E+00	8.05E+00	8.08E+00	8.07E+00	8.10E+00	8.12E+00	8.11E+00	8.14E+00
Bartoli11	2.50E+01	3.00E+00	7.98E+00	8.01E+00	8.01E+00	8.03E+00	8.06E+00	8.05E+00	8.08E+00
Martinez-Boti15	4.80E+01	3.00E+00	8.01E+00	8.04E+00	8.03E+00	8.06E+00	8.08E+00	8.07E+00	8.10E+00
Martinez-Boti15	4.90E+01	3.01E+00	8.02E+00	8.05E+00	8.05E+00	8.07E+00	8.09E+00	8.08E+00	8.11E+00
Martinez-Boti15	5.00E+01	3.03E+00	8.00E+00	8.03E+00	8.03E+00	8.05E+00	8.07E+00	8.06E+00	8.09E+00
Martinez-Boti15	5.10E+01	3.04E+00	7.97E+00	8.00E+00	7.99E+00	8.01E+00	8.04E+00	8.03E+00	8.06E+00
Martinez-Boti15	5.20E+01	3.05E+00	7.97E+00	8.00E+00	7.99E+00	8.01E+00	8.04E+00	8.03E+00	8.06E+00
Martinez-Boti15	5.30E+01	3.06E+00	8.02E+00	8.05E+00	8.04E+00	8.07E+00	8.09E+00	8.08E+00	8.11E+00
Martinez-Boti15	5.40E+01	3.06E+00	7.97E+00	8.00E+00	8.00E+00	8.02E+00	8.04E+00	8.04E+00	8.07E+00
Martinez-Boti15	5.50E+01	3.07E+00	8.00E+00	8.03E+00	8.03E+00	8.05E+00	8.07E+00	8.06E+00	8.10E+00
Bartoli11	2.60E+01	3.07E+00	8.06E+00	8.09E+00	8.09E+00	8.11E+00	8.14E+00	8.13E+00	8.16E+00
Bartoli11	2.70E+01	3.08E+00	7.97E+00	8.01E+00	8.00E+00	8.02E+00	8.05E+00	8.04E+00	8.08E+00
Martinez-Boti15	5.60E+01	3.09E+00	8.05E+00	8.08E+00	8.07E+00	8.09E+00	8.11E+00	8.11E+00	8.13E+00
Martinez-Boti15	5.70E+01	3.10E+00	8.06E+00	8.09E+00	8.08E+00	8.11E+00	8.13E+00	8.12E+00	8.15E+00
Bartoli11	2.80E+01	3.10E+00	8.06E+00	8.09E+00	8.08E+00	8.10E+00	8.13E+00	8.12E+00	8.15E+00
Martinez-Boti15	5.80E+01	3.11E+00	7.99E+00	8.02E+00	8.02E+00	8.04E+00	8.06E+00	8.06E+00	8.08E+00
Martinez-Boti15	5.90E+01	3.13E+00	8.03E+00	8.07E+00	8.06E+00	8.08E+00	8.11E+00	8.10E+00	8.13E+00
Martinez-Boti15	6.00E+01	3.14E+00	8.04E+00	8.08E+00	8.07E+00	8.09E+00	8.12E+00	8.11E+00	8.14E+00
Martinez-Boti15	6.10E+01	3.15E+00	7.95E+00	8.01E+00	7.99E+00	8.03E+00	8.07E+00	8.06E+00	8.11E+00
Bartoli11	2.90E+01	3.16E+00	8.08E+00	8.12E+00	8.11E+00	8.14E+00	8.16E+00	8.16E+00	8.19E+00
Martinez-Boti15	6.20E+01	3.16E+00	8.04E+00	8.07E+00	8.06E+00	8.09E+00	8.11E+00	8.10E+00	8.13E+00
Martinez-Boti15	6.30E+01	3.17E+00	7.94E+00	7.97E+00	7.97E+00	7.99E+00	8.01E+00	8.01E+00	8.04E+00
Martinez-Boti15	6.40E+01	3.18E+00	8.00E+00	8.03E+00	8.03E+00	8.05E+00	8.07E+00	8.06E+00	8.09E+00
Martinez-Boti15	6.50E+01	3.19E+00	8.10E+00	8.13E+00	8.12E+00	8.14E+00	8.16E+00	8.16E+00	8.19E+00
Martinez-Boti15	6.60E+01	3.20E+00	8.05E+00	8.08E+00	8.07E+00	8.09E+00	8.12E+00	8.11E+00	8.14E+00
Seki10	6.10E+01	3.20E+00	7.99E+00	8.01E+00	8.01E+00	8.03E+00	8.05E+00	8.04E+00	8.07E+00
Martinez-Boti15	6.70E+01	3.21E+00	8.05E+00	8.08E+00	8.08E+00	8.10E+00	8.12E+00	8.12E+00	8.15E+00
Bartoli11	3.00E+01	3.22E+00	8.07E+00	8.11E+00	8.10E+00	8.13E+00	8.15E+00	8.14E+00	8.18E+00
Martinez-Boti15	6.80E+01	3.22E+00	8.00E+00	8.04E+00	8.03E+00	8.05E+00	8.08E+00	8.07E+00	8.10E+00
Bartoli11	3.10E+01	3.24E+00	8.02E+00	8.05E+00	8.04E+00	8.07E+00	8.09E+00	8.08E+00	8.12E+00
Martinez-Boti15	6.90E+01	3.24E+00	7.95E+00	7.99E+00	7.98E+00	8.01E+00	8.04E+00	8.04E+00	8.08E+00
Martinez-Boti15	7.00E+01	3.24E+00	8.03E+00	8.06E+00	8.05E+00	8.07E+00	8.10E+00	8.09E+00	8.12E+00
Martinez-Boti15	7.10E+01	3.25E+00	8.07E+00	8.09E+00	8.09E+00	8.11E+00	8.13E+00	8.12E+00	8.15E+00
Sosdian18	3.40E+01	3.25E+00	8.03E+00	8.06E+00	8.06E+00	8.08E+00	8.10E+00	8.10E+00	8.13E+00
Bartoli11	3.20E+01	3.26E+00	8.08E+00	8.11E+00	8.11E+00	8.13E+00	8.16E+00	8.15E+00	8.18E+00
Martinez-Boti15	7.20E+01	3.26E+00	8.03E+00	8.06E+00	8.05E+00	8.08E+00	8.11E+00	8.10E+00	8.13E+00
Martinez-Boti15	7.30E+01	3.27E+00	8.00E+00	8.04E+00	8.03E+00	8.06E+00	8.09E+00	8.08E+00	8.12E+00
Martinez-Boti15	7.40E+01	3.28E+00	8.07E+00	8.10E+00	8.09E+00	8.11E+00	8.14E+00	8.13E+00	8.16E+00
Bartoli11	3.30E+01	3.32E+00	8.06E+00	8.09E+00	8.08E+00	8.11E+00	8.13E+00	8.13E+00	8.16E+00
Bartoli11	3.40E+01	3.40E+00	8.07E+00	8.10E+00	8.09E+00	8.12E+00	8.14E+00	8.13E+00	8.17E+00
Bartoli11	3.50E+01	3.41E+00	8.05E+00	8.09E+00	8.08E+00	8.11E+00	8.13E+00	8.13E+00	8.16E+00
Bartoli11	3.60E+01	3.47E+00	8.03E+00	8.07E+00	8.06E+00	8.09E+00	8.11E+00	8.10E+00	8.14E+00
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
									
