Source	Sample	Age.myr	pH2.5	pH16.7	pH25	pH50	pH75	pH83.3	pH97.5
Chalk17	3.50E+01	1.27E-01	8.11E+00	8.13E+00	8.13E+00	8.14E+00	8.16E+00	8.15E+00	8.17E+00
Honisch09	1.00E+01	1.28E-01	8.05E+00	8.08E+00	8.07E+00	8.09E+00	8.10E+00	8.10E+00	8.12E+00
Chalk17	3.60E+01	1.31E-01	8.09E+00	8.12E+00	8.11E+00	8.13E+00	8.15E+00	8.14E+00	8.17E+00
Chalk17	3.70E+01	1.32E-01	8.14E+00	8.16E+00	8.16E+00	8.17E+00	8.19E+00	8.18E+00	8.20E+00
Chalk17	3.80E+01	1.33E-01	8.16E+00	8.18E+00	8.17E+00	8.19E+00	8.21E+00	8.20E+00	8.22E+00
Chalk17	3.90E+01	1.34E-01	8.20E+00	8.22E+00	8.21E+00	8.23E+00	8.24E+00	8.24E+00	8.26E+00
Chalk17	4.00E+01	1.36E-01	8.20E+00	8.22E+00	8.22E+00	8.23E+00	8.25E+00	8.24E+00	8.26E+00
Honisch09	1.10E+01	1.37E-01	8.17E+00	8.19E+00	8.19E+00	8.20E+00	8.22E+00	8.21E+00	8.24E+00
Honisch09	1.20E+01	1.39E-01	8.20E+00	8.23E+00	8.22E+00	8.24E+00	8.25E+00	8.25E+00	8.27E+00
Chalk17	4.10E+01	1.39E-01	8.20E+00	8.22E+00	8.22E+00	8.23E+00	8.25E+00	8.24E+00	8.26E+00
Chalk17	4.20E+01	1.47E-01	8.19E+00	8.21E+00	8.20E+00	8.22E+00	8.23E+00	8.23E+00	8.25E+00
Chalk17	4.30E+01	1.50E-01	8.20E+00	8.22E+00	8.21E+00	8.23E+00	8.24E+00	8.24E+00	8.26E+00
Chalk17	4.40E+01	1.70E-01	8.20E+00	8.22E+00	8.21E+00	8.23E+00	8.25E+00	8.24E+00	8.26E+00
Chalk17	4.50E+01	1.80E-01	8.20E+00	8.22E+00	8.22E+00	8.23E+00	8.25E+00	8.25E+00	8.26E+00
Chalk17	4.60E+01	1.84E-01	8.19E+00	8.21E+00	8.21E+00	8.22E+00	8.24E+00	8.23E+00	8.25E+00
Chalk17	4.70E+01	1.90E-01	8.18E+00	8.20E+00	8.19E+00	8.21E+00	8.22E+00	8.22E+00	8.24E+00
Chalk17	4.80E+01	1.92E-01	8.18E+00	8.20E+00	8.19E+00	8.21E+00	8.22E+00	8.22E+00	8.24E+00
Chalk17	4.90E+01	1.98E-01	8.14E+00	8.16E+00	8.16E+00	8.18E+00	8.19E+00	8.19E+00	8.21E+00
Chalk17	5.00E+01	2.12E-01	8.10E+00	8.13E+00	8.12E+00	8.14E+00	8.15E+00	8.15E+00	8.17E+00
Chalk17	5.10E+01	2.20E-01	8.12E+00	8.15E+00	8.14E+00	8.16E+00	8.17E+00	8.17E+00	8.19E+00
Chalk17	5.20E+01	2.24E-01	8.12E+00	8.15E+00	8.14E+00	8.16E+00	8.18E+00	8.17E+00	8.19E+00
Chalk17	5.30E+01	2.27E-01	8.16E+00	8.18E+00	8.18E+00	8.19E+00	8.21E+00	8.21E+00	8.23E+00
Chalk17	5.40E+01	2.36E-01	8.12E+00	8.15E+00	8.14E+00	8.16E+00	8.17E+00	8.17E+00	8.19E+00
Chalk17	5.50E+01	2.39E-01	8.15E+00	8.17E+00	8.16E+00	8.18E+00	8.20E+00	8.19E+00	8.21E+00
Chalk17	5.60E+01	2.43E-01	8.10E+00	8.13E+00	8.12E+00	8.14E+00	8.16E+00	8.15E+00	8.17E+00
Chalk17	5.70E+01	2.47E-01	8.13E+00	8.15E+00	8.14E+00	8.16E+00	8.17E+00	8.17E+00	8.19E+00
Chalk17	5.80E+01	2.50E-01	8.17E+00	8.20E+00	8.19E+00	8.21E+00	8.22E+00	8.22E+00	8.24E+00
Chalk17	5.90E+01	2.58E-01	8.16E+00	8.18E+00	8.18E+00	8.19E+00	8.21E+00	8.20E+00	8.22E+00
Honisch09	1.30E+01	3.29E-01	8.02E+00	8.04E+00	8.04E+00	8.06E+00	8.07E+00	8.07E+00	8.09E+00
Honisch09	1.40E+01	3.59E-01	8.14E+00	8.17E+00	8.16E+00	8.18E+00	8.19E+00	8.19E+00	8.21E+00
Honisch09	1.50E+01	3.67E-01	8.12E+00	8.15E+00	8.14E+00	8.16E+00	8.17E+00	8.17E+00	8.19E+00
Honisch09	1.60E+01	3.86E-01	8.08E+00	8.10E+00	8.10E+00	8.12E+00	8.13E+00	8.13E+00	8.15E+00
Honisch09	1.70E+01	4.09E-01	8.02E+00	8.04E+00	8.04E+00	8.05E+00	8.07E+00	8.06E+00	8.09E+00
Honisch09	1.80E+01	4.19E-01	8.05E+00	8.07E+00	8.07E+00	8.08E+00	8.10E+00	8.10E+00	8.12E+00
Honisch09	1.90E+01	5.42E-01	8.09E+00	8.12E+00	8.11E+00	8.13E+00	8.15E+00	8.14E+00	8.16E+00
Sosdian18	2.80E+01	5.56E-01	8.17E+00	8.21E+00	8.20E+00	8.23E+00	8.25E+00	8.25E+00	8.28E+00
Honisch09	2.00E+01	6.16E-01	8.08E+00	8.10E+00	8.09E+00	8.11E+00	8.13E+00	8.12E+00	8.15E+00
Honisch09	2.10E+01	6.51E-01	8.20E+00	8.22E+00	8.22E+00	8.24E+00	8.25E+00	8.25E+00	8.27E+00
Honisch09	2.20E+01	6.62E-01	8.16E+00	8.18E+00	8.18E+00	8.19E+00	8.21E+00	8.21E+00	8.23E+00
Honisch09	2.30E+01	6.75E-01	8.13E+00	8.15E+00	8.15E+00	8.16E+00	8.18E+00	8.18E+00	8.20E+00
Honisch09	2.40E+01	7.02E-01	8.07E+00	8.09E+00	8.09E+00	8.11E+00	8.12E+00	8.12E+00	8.14E+00
Honisch09	2.50E+01	7.04E-01	8.06E+00	8.08E+00	8.07E+00	8.09E+00	8.11E+00	8.11E+00	8.13E+00
Honisch09	2.60E+01	7.31E-01	8.11E+00	8.14E+00	8.13E+00	8.15E+00	8.17E+00	8.16E+00	8.19E+00
Honisch09	2.70E+01	7.52E-01	8.14E+00	8.17E+00	8.16E+00	8.18E+00	8.20E+00	8.19E+00	8.21E+00
Honisch09	2.80E+01	8.92E-01	8.25E+00	8.28E+00	8.27E+00	8.29E+00	8.31E+00	8.30E+00	8.32E+00
Seki10	5.70E+01	9.30E-01	8.14E+00	8.16E+00	8.15E+00	8.17E+00	8.19E+00	8.18E+00	8.20E+00
Honisch09	2.90E+01	9.50E-01	8.14E+00	8.17E+00	8.16E+00	8.18E+00	8.20E+00	8.19E+00	8.22E+00
Honisch09	3.00E+01	9.53E-01	8.12E+00	8.14E+00	8.14E+00	8.16E+00	8.17E+00	8.17E+00	8.19E+00
Honisch09	3.10E+01	1.07E+00	8.13E+00	8.16E+00	8.15E+00	8.17E+00	8.19E+00	8.18E+00	8.21E+00
Honisch09	3.20E+01	1.08E+00	8.17E+00	8.20E+00	8.19E+00	8.21E+00	8.23E+00	8.22E+00	8.25E+00
Chalk17	6.00E+01	1.09E+00	8.15E+00	8.18E+00	8.17E+00	8.19E+00	8.21E+00	8.20E+00	8.23E+00
Chalk17	6.10E+01	1.09E+00	8.12E+00	8.14E+00	8.14E+00	8.16E+00	8.18E+00	8.17E+00	8.20E+00
Chalk17	6.20E+01	1.09E+00	8.17E+00	8.19E+00	8.19E+00	8.20E+00	8.22E+00	8.22E+00	8.24E+00
Chalk17	6.30E+01	1.09E+00	8.14E+00	8.17E+00	8.16E+00	8.18E+00	8.20E+00	8.19E+00	8.22E+00
Chalk17	6.40E+01	1.10E+00	8.13E+00	8.15E+00	8.15E+00	8.17E+00	8.19E+00	8.18E+00	8.20E+00
Chalk17	6.50E+01	1.10E+00	8.04E+00	8.07E+00	8.06E+00	8.08E+00	8.10E+00	8.09E+00	8.12E+00
